Date : 2020-02-19 21:53:57
Directory : c:\Users\bilal\Desktop\BayimSu\crm
Total : 228 files,  33570 codes, 1244 comments, 5428 blanks, all 40242 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Notification\NotificationScreen.tsx        | TypeScript React |        253 |        175 |         95 |        523 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Order\OrderListScreen.tsx                  | TypeScript React |        273 |         82 |        114 |        469 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Product\productAdd.tsx                     | TypeScript React |        337 |         14 |         67 |        418 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Product\productEdit.tsx                    | TypeScript React |        239 |          8 |         48 |        295 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Product\productsWithImagesScreen.tsx       | TypeScript React |        247 |          5 |         68 |        320 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Product\produts.tsx                        | TypeScript React |        218 |          4 |         64 |        286 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\AboutUsScreen.tsx                  | TypeScript React |         74 |          0 |         30 |        104 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\CompanyEditScreen.tsx              | TypeScript React |        202 |          4 |         34 |        240 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\ProfileEditGeneralScreen.tsx       | TypeScript React |        172 |         11 |         29 |        212 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\ProfileScreen.tsx                  | TypeScript React |        409 |         58 |        178 |        645 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\RateUsScreen.tsx                   | TypeScript React |         31 |          8 |          5 |         44 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\SecurityScreen.tsx                 | TypeScript React |        218 |         11 |         41 |        270 |
