filename, language, JSON, Properties, JavaScript, TypeScript React, Log, Batch, Markdown, Groovy, C++, Objective-C, TypeScript, XML, HTML, CSS, Java, comment, blank, total
c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\Contents.json, JSON, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\README.md, Markdown, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\bayimsulogo.imageset\Contents.json, JSON, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\main.m, Objective-C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 4, 17
c:\Users\bilal\Desktop\BayimSu\crm\jest.config.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
c:\Users\bilal\Desktop\BayimSu\crm\metro.config.js, JavaScript, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
c:\Users\bilal\Desktop\BayimSu\crm\package-lock.json, JSON, 10637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10638
c:\Users\bilal\Desktop\BayimSu\crm\package.json, JSON, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
c:\Users\bilal\Desktop\BayimSu\crm\react-native.config.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
c:\Users\bilal\Desktop\BayimSu\crm\src\components\AutoExpandingTextInput.tsx, TypeScript React, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
c:\Users\bilal\Desktop\BayimSu\crm\src\components\AvatarItem.tsx, TypeScript React, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
c:\Users\bilal\Desktop\BayimSu\crm\src\components\Button.tsx, TypeScript React, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
c:\Users\bilal\Desktop\BayimSu\crm\src\components\CallDetecterComponent.tsx, TypeScript React, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 135
c:\Users\bilal\Desktop\BayimSu\crm\src\components\Cursor.tsx, TypeScript React, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 73
c:\Users\bilal\Desktop\BayimSu\crm\src\components\EmployeeItem.tsx, TypeScript React, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
